method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_07_ranking_optimized_FULL_testcsv,S2SD32.21-85-3-2-1,full_test_csv_277_builds,9,63,0.7777777777777778,0.0
experiment_07_ranking_optimized_FULL_testcsv,S3RO32.16,full_test_csv_277_builds,15,37,0.32222222222222224,0.0
experiment_07_ranking_optimized_FULL_testcsv,S3RW32.138-29-5,full_test_csv_277_builds,107,240,0.6076555023923444,0.0
experiment_07_ranking_optimized_FULL_testcsv,S3RYA32.16,full_test_csv_277_builds,10,40,0.32500000000000007,0.0
experiment_07_ranking_optimized_FULL_testcsv,S3RYA32.35,full_test_csv_277_builds,5,181,0.3,0.0
experiment_07_ranking_optimized_FULL_testcsv,S3RYA32.49-7,full_test_csv_277_builds,12,6,0.8333333333333334,0.0
experiment_07_ranking_optimized_FULL_testcsv,S3RYA32.49-8,full_test_csv_277_builds,12,7,0.8333333333333334,0.0
experiment_07_ranking_optimized_FULL_testcsv,S3SG32.39-90-1,full_test_csv_277_builds,31,136,0.40625,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RD33.116-13,full_test_csv_277_builds,37,4,0.6385135135135136,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RD33.116-15,full_test_csv_277_builds,11,9,0.3181818181818181,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RG33.135-109-1,full_test_csv_277_builds,25,6,0.41000000000000003,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RG33.135-56,full_test_csv_277_builds,18,12,0.325,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RG33.135-89,full_test_csv_277_builds,9,2,0.8409090909090908,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RM33.1-110-4,full_test_csv_277_builds,19,63,0.24999999999999994,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RM33.1-54,full_test_csv_277_builds,25,100,0.4230769230769231,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RM33.1-89,full_test_csv_277_builds,25,2,0.2692307692307692,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1RM33.1-92,full_test_csv_277_builds,7,2,0.75,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1SJC33.51-6,full_test_csv_277_builds,8,6,0.34375,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1SQ33.15-11-77,full_test_csv_277_builds,26,5,0.8793103448275862,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1SQ33.15-11-80,full_test_csv_277_builds,10,8,0.75,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1SQ33.15-11-85,full_test_csv_277_builds,46,5,0.4836956521739131,0.0
experiment_07_ranking_optimized_FULL_testcsv,T1SSM33.1-100,full_test_csv_277_builds,2,2,0.5,0.0
