build_id,apfd,n_tests,n_faults
USQ34.230,0.7,5,2
UTO34.265,0.45833333333333337,20,6
UUC34.59,0.5370370370370371,9,6
U2UAN34.72-35,0.5,1,1
U3UV34.26-22-1,0.8333333333333334,21,1
T3TF33.66-52,0.8472222222222222,18,4
U3UV34.26-27,0.7023809523809524,14,6
U3UOC34.45,0.5,1,1
U3TV34.1-15,0.7857142857142857,7,1
UUI34.31,0.8571428571428571,7,2
UUI34.33,0.6666666666666666,3,2
U1TR34.8-30-13-2-2,0.9210526315789473,19,1
U1UG34.23-82,0.5,1,1
U2SL34.1-42,0.9848484848484849,33,1
U2UAN34.72-43,0.9666666666666667,15,1
U3UC34.63-24,0.6547619047619048,28,6
U1SJ34.2-46,0.375,4,1
U1SJ34.2-54,0.5,1,1
U3UC34.63-29,0.8333333333333334,3,1
U3UX34.56-17,0.8846153846153846,13,1
U3UW34.67-6,0.984375,32,1
U3TV34.1-45,0.9166666666666667,6,1
U1RD34.43,0.6666666666666666,3,2
U1RD34.44,0.75,2,1
U3UC34.63-23,0.8461538461538461,13,2
U3UC34.63-26,0.7581300813008129,41,12
U3UX34.56-20,0.2777777777777778,9,1
U3UX34.56-19,0.8461538461538461,13,2
U3TZ34.2-58,0.5,1,1
U3TV34.1-42,0.29999999999999993,5,1
U3UO34.49-15,0.7352941176470588,17,1
U3TZ34.67,0.462962962962963,9,3
U3TV34.1-43,0.9,5,1
U3TV34.1-48,0.5,32,2
UUI34.32,0.49999999999999994,6,6
U3TZ34.81,0.38636363636363635,22,1
U3TV34.1-51,0.5952380952380953,9,7
U2UAN34.72-43-2,0.7886363636363637,44,5
U1UG34.23-85,0.75,2,1
T3TF33.66-56,0.66875,16,5
U3UX34.56-23,0.6153846153846153,13,6
U3UX34.56-22,0.5416666666666666,4,3
U3UW34.67-8,0.8636363636363635,11,1
U3UC34.63-32,0.5625,8,1
U3TV34.1-52,0.625,4,1
U3UX34.56-37,0.875,4,1
U3UO34.49-36,0.888888888888889,9,2
U3UTC34.29,0.5,2,2
