Method,Mean APFD,Std,95% CI Lower,95% CI Upper,N Evaluations
Temporal 5-Fold CV,0.6629144461266392,0.2791440684010705,0.6268174802619826,0.6975142081610907,215
Sliding Window CV,0.6279318766541361,0.2719183573292459,0.5949243910933015,0.6610634393125208,248
Concept Drift Test,0.6187343107677566,0.2766121044972083,0.5739228857672869,0.6611398738545806,152
