Method,Mean APFD,Std APFD,N Builds,95% CI Lower,95% CI Upper,vs Random (%),p-value vs Filo-Priori
DeepOrder,0.649988245624821,0.22445364622105038,371,0.6270737271467095,0.6729027641029326,21.966916876431906,0.4337904334815883
Filo-Priori,0.6412969809363779,0.2533000235947999,277,0.6113362765194781,0.6712576853532777,20.336046218474987,
FailureRate,0.5549274834000703,0.23509599104414555,371,0.5309264857704502,0.5789284810296903,4.129258791813631,0.0030619044967289547
Random,0.5329217645825567,0.20862544804148245,371,0.5116231500818024,0.554220379083311,0.0,5.349666814013076e-06
RETECS,0.45827761990053334,0.21736959773513181,371,0.436086313375818,0.4804689264252487,-14.006585889861883,9.123077622340796e-16
