Sampling Strategy,Mean APFD,Std,95% CI,N Samples
No Balanced Sampling,0.615353591711035,0.26238464549321466,"[0.601, 0.631]",1108
Balanced Sampling,0.5834193097748115,0.2725800453355345,"[0.550, 0.616]",277
