GNN Architecture,Mean APFD,Std,95% CI,N Samples
"1 layer, 2 heads",0.616030722124358,0.2565029293536929,"[0.598, 0.633]",831
"2 layers, 4 heads",0.5890047939151097,0.27380943585658407,"[0.569, 0.608]",831
