Learning Rate,Mean APFD,Std,95% CI,N Samples
3e-5,0.616030722124358,0.2565029293536929,"[0.599, 0.633]",831
5e-5,0.5890047939151097,0.27380943585658407,"[0.570, 0.608]",831
