method_name,build_id,apfd
Filo-Priori (w/o Structural),0,0.11111111111111115
Filo-Priori (w/o Structural),1,0.39999999999999997
Filo-Priori (w/o Structural),2,0.6303827751196173
Filo-Priori (w/o Structural),3,0.275
Filo-Priori (w/o Structural),4,0.3
Filo-Priori (w/o Structural),5,0.5416666666666666
Filo-Priori (w/o Structural),6,0.828125
Filo-Priori (w/o Structural),7,0.3359375
Filo-Priori (w/o Structural),8,0.5608108108108109
Filo-Priori (w/o Structural),9,0.5909090909090908
Filo-Priori (w/o Structural),10,0.25
Filo-Priori (w/o Structural),11,0.46249999999999997
Filo-Priori (w/o Structural),12,0.7727272727272727
Filo-Priori (w/o Structural),13,0.5921052631578948
Filo-Priori (w/o Structural),14,0.12500000000000003
Filo-Priori (w/o Structural),15,0.2692307692307692
Filo-Priori (w/o Structural),16,0.46875
Filo-Priori (w/o Structural),17,0.21875
Filo-Priori (w/o Structural),18,0.8706896551724137
Filo-Priori (w/o Structural),19,0.9500000000000001
Filo-Priori (w/o Structural),20,0.5652173913043478
Filo-Priori (w/o Structural),21,0.5
Filo-Priori (w/o Structural),22,0.2857142857142857
Filo-Priori (w/o Structural),23,0.43000000000000005
Filo-Priori (w/o Structural),24,1.0
Filo-Priori (w/o Structural),25,0.4444444444444444
Filo-Priori (w/o Structural),26,0.3982558139534884
Filo-Priori (w/o Structural),27,0.7083333333333334
Filo-Priori (w/o Structural),28,0.41071428571428575
Filo-Priori (w/o Structural),29,0.3333333333333333
Filo-Priori (w/o Structural),30,0.8575
Filo-Priori (w/o Structural),31,0.6833333333333335
Filo-Priori (w/o Structural),32,0.587121212121212
Filo-Priori (w/o Structural),33,1.0
Filo-Priori (w/o Structural),34,0.44000000000000006
Filo-Priori (w/o Structural),35,0.31875000000000003
Filo-Priori (w/o Structural),36,0.6249999999999999
Filo-Priori (w/o Structural),37,0.3
Filo-Priori (w/o Structural),38,0.398989898989899
Filo-Priori (w/o Structural),39,0.34574468085106386
Filo-Priori (w/o Structural),40,1.0
Filo-Priori (w/o Structural),41,0.4807692307692308
Filo-Priori (w/o Structural),42,0.7499999999999999
Filo-Priori (w/o Structural),43,0.8388888888888889
Filo-Priori (w/o Structural),44,0.32142857142857145
Filo-Priori (w/o Structural),45,0.4333333333333333
Filo-Priori (w/o Structural),46,0.78125
Filo-Priori (w/o Structural),47,0.7469951923076923
Filo-Priori (w/o Structural),48,0.875
Filo-Priori (w/o Structural),49,0.6363636363636364
Filo-Priori (w/o Structural),50,0.5790441176470589
Filo-Priori (w/o Structural),51,0.7083333333333334
Filo-Priori (w/o Structural),52,0.587121212121212
Filo-Priori (w/o Structural),53,0.15340909090909086
Filo-Priori (w/o Structural),54,0.3391812865497076
Filo-Priori (w/o Structural),55,0.5208333333333333
Filo-Priori (w/o Structural),56,0.8333333333333334
Filo-Priori (w/o Structural),57,0.65
Filo-Priori (w/o Structural),58,0.9375
Filo-Priori (w/o Structural),59,0.75
Filo-Priori (w/o Structural),60,0.7386363636363636
Filo-Priori (w/o Structural),61,0.38750000000000007
Filo-Priori (w/o Structural),62,0.5833333333333334
Filo-Priori (w/o Structural),63,0.75
Filo-Priori (w/o Structural),64,0.609375
Filo-Priori (w/o Structural),65,0.4615384615384615
Filo-Priori (w/o Structural),66,0.75
Filo-Priori (w/o Structural),67,0.551923076923077
Filo-Priori (w/o Structural),68,0.6309523809523809
Filo-Priori (w/o Structural),69,0.546875
Filo-Priori (w/o Structural),70,0.12500000000000003
Filo-Priori (w/o Structural),71,0.5818181818181819
Filo-Priori (w/o Structural),72,0.75
Filo-Priori (w/o Structural),73,0.7115384615384616
Filo-Priori (w/o Structural),74,0.4583333333333333
Filo-Priori (w/o Structural),75,0.37500000000000006
Filo-Priori (w/o Structural),76,0.6625
Filo-Priori (w/o Structural),77,0.6722222222222223
Filo-Priori (w/o Structural),78,0.6598101265822784
Filo-Priori (w/o Structural),79,0.6041666666666666
Filo-Priori (w/o Structural),80,0.638888888888889
Filo-Priori (w/o Structural),81,0.375
Filo-Priori (w/o Structural),82,0.5735294117647058
Filo-Priori (w/o Structural),83,0.4285714285714286
Filo-Priori (w/o Structural),84,1.0
Filo-Priori (w/o Structural),85,0.7678571428571428
Filo-Priori (w/o Structural),86,0.7916666666666667
Filo-Priori (w/o Structural),87,0.625
Filo-Priori (w/o Structural),88,0.9624999999999999
Filo-Priori (w/o Structural),89,0.4583333333333333
Filo-Priori (w/o Structural),90,0.55
Filo-Priori (w/o Structural),91,0.39999999999999997
Filo-Priori (w/o Structural),92,0.75
Filo-Priori (w/o Structural),93,0.7500000000000001
Filo-Priori (w/o Structural),94,0.9117647058823529
Filo-Priori (w/o Structural),95,0.7499999999999999
Filo-Priori (w/o Structural),96,0.35000000000000003
Filo-Priori (w/o Structural),97,0.92
Filo-Priori (w/o Structural),98,0.4347826086956522
Filo-Priori (w/o Structural),99,0.8666666666666667
Filo-Priori (w/o Structural),100,0.37499999999999994
Filo-Priori (w/o Structural),101,0.5208333333333334
Filo-Priori (w/o Structural),102,0.49124999999999996
Filo-Priori (w/o Structural),103,0.9583333333333333
Filo-Priori (w/o Structural),104,0.359375
Filo-Priori (w/o Structural),105,0.3958333333333333
Filo-Priori (w/o Structural),106,0.75
Filo-Priori (w/o Structural),107,0.8392857142857143
Filo-Priori (w/o Structural),108,1.0
Filo-Priori (w/o Structural),109,0.8125
Filo-Priori (w/o Structural),110,0.5416666666666666
Filo-Priori (w/o Structural),111,0.7083333333333334
Filo-Priori (w/o Structural),112,0.375
Filo-Priori (w/o Structural),113,1.0
Filo-Priori (w/o Structural),114,0.7000000000000001
Filo-Priori (w/o Structural),115,0.805
Filo-Priori (w/o Structural),116,0.6124999999999999
Filo-Priori (w/o Structural),117,0.7065217391304348
Filo-Priori (w/o Structural),118,0.8571428571428571
Filo-Priori (w/o Structural),119,0.5343137254901961
Filo-Priori (w/o Structural),120,0.39999999999999997
Filo-Priori (w/o Structural),121,0.2954545454545454
Filo-Priori (w/o Structural),122,0.4479166666666667
Filo-Priori (w/o Structural),123,0.5
Filo-Priori (w/o Structural),124,0.6875
Filo-Priori (w/o Structural),125,0.8500000000000001
Filo-Priori (w/o Structural),126,0.5
Filo-Priori (w/o Structural),127,0.5855263157894737
Filo-Priori (w/o Structural),128,0.32954545454545453
Filo-Priori (w/o Structural),129,1.0
Filo-Priori (w/o Structural),130,0.65
Filo-Priori (w/o Structural),131,1.0
Filo-Priori (w/o Structural),132,0.65
Filo-Priori (w/o Structural),133,0.5
Filo-Priori (w/o Structural),134,0.5952380952380951
Filo-Priori (w/o Structural),135,0.8333333333333334
Filo-Priori (w/o Structural),136,0.75
Filo-Priori (w/o Structural),137,0.75
Filo-Priori (w/o Structural),138,0.8333333333333334
Filo-Priori (w/o Structural),139,0.7548076923076923
Filo-Priori (w/o Structural),140,0.078125
Filo-Priori (w/o Structural),141,0.6666666666666666
Filo-Priori (w/o Structural),142,1.0
Filo-Priori (w/o Structural),143,0.9166666666666666
Filo-Priori (w/o Structural),144,0.3295454545454545
Filo-Priori (w/o Structural),145,0.55
Filo-Priori (w/o Structural),146,0.4772727272727273
Filo-Priori (w/o Structural),147,0.6428571428571429
Filo-Priori (w/o Structural),148,0.8125
Filo-Priori (w/o Structural),149,1.0
Filo-Priori (w/o Structural),150,0.5
Filo-Priori (w/o Structural),151,1.0
Filo-Priori (w/o Structural),152,0.49999999999999994
Filo-Priori (w/o Structural),153,0.8333333333333334
Filo-Priori (w/o Structural),154,1.0
Filo-Priori (w/o Structural),155,1.0
Filo-Priori (w/o Structural),156,0.390625
Filo-Priori (w/o Structural),157,0.5416666666666666
Filo-Priori (w/o Structural),158,0.4496124031007752
Filo-Priori (w/o Structural),159,0.8
Filo-Priori (w/o Structural),160,0.6209677419354839
Filo-Priori (w/o Structural),161,0.53125
Filo-Priori (w/o Structural),162,0.48774509803921573
Filo-Priori (w/o Structural),163,0.369047619047619
Filo-Priori (w/o Structural),164,0.8289473684210527
Filo-Priori (w/o Structural),165,0.7573529411764706
Filo-Priori (w/o Structural),166,1.0
Filo-Priori (w/o Structural),167,0.49999999999999994
