method_name,build_id,apfd
Filo-Priori (w/o Cross-Attention),0,0.5555555555555556
Filo-Priori (w/o Cross-Attention),1,0.6666666666666667
Filo-Priori (w/o Cross-Attention),2,0.368421052631579
Filo-Priori (w/o Cross-Attention),3,0.30000000000000004
Filo-Priori (w/o Cross-Attention),4,0.3
Filo-Priori (w/o Cross-Attention),5,0.7083333333333334
Filo-Priori (w/o Cross-Attention),6,0.8333333333333334
Filo-Priori (w/o Cross-Attention),7,0.1875
Filo-Priori (w/o Cross-Attention),8,0.6756756756756757
Filo-Priori (w/o Cross-Attention),9,0.13636363636363638
Filo-Priori (w/o Cross-Attention),10,0.45999999999999996
Filo-Priori (w/o Cross-Attention),11,0.5874999999999999
Filo-Priori (w/o Cross-Attention),12,0.75
Filo-Priori (w/o Cross-Attention),13,0.07894736842105261
Filo-Priori (w/o Cross-Attention),14,0.2980769230769231
Filo-Priori (w/o Cross-Attention),15,0.16346153846153846
Filo-Priori (w/o Cross-Attention),16,0.6875
Filo-Priori (w/o Cross-Attention),17,0.34375
Filo-Priori (w/o Cross-Attention),18,0.9827586206896551
Filo-Priori (w/o Cross-Attention),19,0.85
Filo-Priori (w/o Cross-Attention),20,0.46467391304347827
Filo-Priori (w/o Cross-Attention),21,0.75
Filo-Priori (w/o Cross-Attention),22,0.2142857142857143
Filo-Priori (w/o Cross-Attention),23,0.33999999999999997
Filo-Priori (w/o Cross-Attention),24,1.0
Filo-Priori (w/o Cross-Attention),25,0.2222222222222222
Filo-Priori (w/o Cross-Attention),26,0.6424418604651163
Filo-Priori (w/o Cross-Attention),27,0.9166666666666666
Filo-Priori (w/o Cross-Attention),28,0.7142857142857143
Filo-Priori (w/o Cross-Attention),29,0.49999999999999994
Filo-Priori (w/o Cross-Attention),30,0.9425
Filo-Priori (w/o Cross-Attention),31,0.9666666666666667
Filo-Priori (w/o Cross-Attention),32,0.6325757575757576
Filo-Priori (w/o Cross-Attention),33,1.0
Filo-Priori (w/o Cross-Attention),34,0.38
Filo-Priori (w/o Cross-Attention),35,0.39999999999999997
Filo-Priori (w/o Cross-Attention),36,0.08333333333333329
Filo-Priori (w/o Cross-Attention),37,0.9
Filo-Priori (w/o Cross-Attention),38,0.7146464646464646
Filo-Priori (w/o Cross-Attention),39,0.6382978723404256
Filo-Priori (w/o Cross-Attention),40,1.0
Filo-Priori (w/o Cross-Attention),41,0.826923076923077
Filo-Priori (w/o Cross-Attention),42,0.9166666666666666
Filo-Priori (w/o Cross-Attention),43,0.8222222222222222
Filo-Priori (w/o Cross-Attention),44,0.5357142857142857
Filo-Priori (w/o Cross-Attention),45,0.23333333333333334
Filo-Priori (w/o Cross-Attention),46,0.8125
Filo-Priori (w/o Cross-Attention),47,0.8317307692307693
Filo-Priori (w/o Cross-Attention),48,0.9500000000000001
Filo-Priori (w/o Cross-Attention),49,0.9545454545454546
Filo-Priori (w/o Cross-Attention),50,0.6930147058823529
Filo-Priori (w/o Cross-Attention),51,0.6302083333333334
Filo-Priori (w/o Cross-Attention),52,0.7954545454545454
Filo-Priori (w/o Cross-Attention),53,0.2926136363636364
Filo-Priori (w/o Cross-Attention),54,0.36403508771929827
