,Dataset,Method,APFD_mean,APFD_std,PFD@10_mean,PFD@10_std,PFD@20_mean,PFD@20_std
0,cora,Random,0.5047311643835617,,0.10102739726027396,,0.20308219178082193,
1,cora,DeepGini,0.6725787671232877,,0.22945205479452055,,0.4212328767123288,
2,cora,Entropy,0.6727123287671233,,0.2328767123287671,,0.4143835616438356,
3,cora,VanillaSM,0.6720034246575342,,0.22945205479452055,,0.4246575342465753,
4,cora,PCS,0.6724794520547945,,0.22945205479452055,,0.4246575342465753,
5,cora,Filo-Priori,0.6773630136986301,,0.23972602739726026,,0.4041095890410959,
